iter	Passed	Remaining
0	132	131973
1	133	66588
2	134	44768
3	135	33808
4	143	28488
5	146	24341
6	152	21639
7	160	19844
8	163	18053
9	165	16360
10	168	15131
11	171	14100
12	173	13159
13	174	12304
14	176	11566
15	177	10902
16	181	10501
17	184	10045
18	186	9646
19	188	9223
20	189	8839
21	190	8486
22	192	8163
23	194	7912
24	198	7751
25	200	7508
26	201	7265
27	202	7040
28	203	6828
29	205	6629
30	206	6447
31	211	6407
32	213	6254
33	215	6110
34	216	5972
35	218	5850
36	220	5729
37	222	5621
38	224	5537
39	226	5427
40	227	5325
41	229	5226
42	231	5149
43	234	5095
44	237	5036
45	238	4951
46	240	4866
47	241	4784
48	244	4737
49	245	4660
50	246	4588
51	247	4518
52	248	4449
53	251	4410
54	256	4399
55	257	4335
56	258	4272
57	259	4214
58	260	4158
59	261	4101
60	262	4048
61	266	4038
62	268	3994
63	270	3951
64	271	3906
65	272	3860
66	274	3816
67	276	3789
68	278	3752
69	280	3723
70	282	3695
71	283	3655
72	286	3634
73	287	3594
74	288	3556
75	289	3518
76	290	3482
77	291	3447
78	292	3414
79	295	3402
80	297	3380
81	299	3352
82	300	3315
83	301	3286
84	302	3259
85	304	3231
86	305	3202
87	306	3180
88	309	3172
89	312	3159
90	313	3134
91	315	3110
92	316	3086
93	318	3072
94	320	3050
95	322	3037
96	324	3018
97	325	2997
98	326	2975
99	328	2955
100	331	2947
101	332	2926
102	333	2905
103	335	2886
104	336	2867
105	339	2862
106	341	2850
107	342	2831
108	344	2812
109	345	2795
110	346	2778
111	348	2760
112	349	2743
113	351	2735
114	353	2722
115	355	2708
116	356	2692
117	358	2679
118	359	2662
119	361	2650
120	362	2636
121	364	2624
122	366	2615
123	368	2602
124	370	2595
125	372	2580
126	373	2564
127	374	2550
128	375	2538
129	377	2523
130	381	2533
131	383	2522
132	384	2509
133	386	2496
134	387	2483
135	388	2470
136	390	2456
137	391	2446
138	393	2435
139	397	2438
140	398	2427
141	399	2412
142	400	2399
143	402	2391
144	403	2381
145	405	2370
146	406	2358
147	407	2346
148	409	2340
149	412	2334
150	413	2326
151	417	2330
152	419	2322
153	420	2311
154	422	2300
155	425	2303
156	427	2293
157	428	2282
158	430	2275
159	431	2267
160	432	2255
161	433	2244
162	435	2234
163	436	2224
164	440	2229
165	443	2227
166	444	2219
167	446	2209
168	447	2199
169	449	2192
170	450	2183
171	458	2205
172	460	2200
173	461	2191
174	462	2181
175	465	2177
176	466	2169
177	470	2172
178	472	2169
179	474	2163
180	478	2165
181	480	2158
182	483	2156
183	487	2160
184	488	2152
185	489	2143
186	491	2138
187	493	2130
188	495	2126
189	499	2127
190	501	2125
191	506	2131
192	508	2124
193	510	2118
194	511	2111
195	519	2132
196	521	2125
197	523	2119
198	524	2112
199	526	2104
200	531	2111
201	535	2116
202	538	2112
203	539	2105
204	541	2098
205	542	2091
206	545	2088
207	550	2095
208	552	2089
209	553	2083
210	555	2075
211	556	2068
212	557	2061
213	561	2063
214	563	2057
215	565	2054
216	570	2057
217	572	2053
218	575	2051
219	579	2054
220	581	2049
221	585	2050
222	588	2050
223	591	2047
224	593	2044
225	600	2057
226	604	2059
227	606	2054
228	609	2053
229	612	2051
230	614	2046
231	621	2056
232	624	2054
233	625	2047
234	627	2042
235	632	2046
236	636	2048
237	638	2045
238	640	2038
239	641	2031
240	642	2024
241	643	2016
242	648	2020
243	652	2020
244	654	2015
245	655	2009
246	657	2004
247	658	1997
248	663	2000
249	669	2007
250	670	2001
251	672	1995
252	674	1990
253	679	1996
254	681	1991
255	683	1986
256	685	1981
257	686	1974
258	689	1972
259	697	1986
260	699	1980
261	700	1974
262	702	1968
263	703	1961
264	705	1955
265	708	1954
266	711	1954
267	713	1949
268	714	1942
269	716	1936
270	717	1930
271	718	1923
272	727	1937
273	729	1931
274	730	1925
275	731	1919
276	732	1912
277	738	1917
278	741	1915
279	742	1910
280	746	1908
281	747	1902
282	748	1897
283	750	1892
284	755	1895
285	757	1890
286	758	1884
287	759	1878
288	761	1872
289	763	1868
290	765	1865
291	769	1865
292	771	1861
293	772	1855
294	774	1849
295	775	1844
296	776	1838
297	780	1838
298	783	1837
299	785	1831
300	786	1826
301	788	1822
302	789	1816
303	791	1812
304	793	1808
305	795	1803
306	797	1800
307	799	1795
308	800	1790
309	802	1785
310	803	1779
311	804	1774
312	812	1784
313	815	1780
314	816	1775
315	817	1770
316	819	1765
317	820	1760
318	824	1759
319	826	1756
320	827	1751
321	830	1748
322	832	1743
323	833	1738
324	834	1733
325	837	1731
326	842	1733
327	843	1728
328	844	1723
329	846	1717
330	847	1712
331	848	1708
332	853	1708
333	854	1704
334	856	1699
335	857	1695
336	859	1690
337	860	1685
338	862	1681
339	863	1676
340	865	1673
341	868	1671
342	870	1666
343	871	1661
344	872	1656
345	875	1654
346	877	1650
347	878	1645
348	880	1642
349	882	1638
350	884	1634
351	886	1631
352	888	1628
353	889	1623
354	890	1618
355	892	1614
356	894	1611
357	898	1611
358	900	1607
359	901	1603
360	903	1598
361	904	1593
362	905	1588
363	907	1584
364	911	1586
365	913	1582
366	915	1578
367	916	1574
368	919	1572
369	920	1567
370	921	1563
371	923	1558
372	926	1556
373	928	1554
374	930	1550
375	931	1546
376	933	1542
377	934	1537
378	935	1533
379	936	1528
380	938	1525
381	940	1522
382	942	1517
383	944	1515
384	946	1512
385	948	1508
386	949	1503
387	950	1499
388	951	1494
389	954	1492
390	957	1490
391	958	1486
392	959	1482
393	961	1478
394	962	1474
395	964	1470
396	965	1466
397	967	1464
398	969	1461
399	971	1457
400	973	1453
401	974	1449
402	975	1445
403	976	1441
404	979	1439
405	983	1438
406	987	1438
407	988	1434
408	990	1431
409	991	1427
410	993	1423
411	994	1419
412	998	1419
413	1001	1418
414	1003	1415
415	1005	1412
416	1007	1408
417	1008	1404
418	1009	1400
419	1015	1402
420	1017	1399
421	1019	1396
422	1020	1392
423	1022	1388
424	1023	1384
425	1024	1381
426	1027	1379
427	1029	1375
428	1030	1371
429	1032	1368
430	1033	1364
431	1035	1361
432	1037	1358
433	1038	1354
434	1040	1351
435	1043	1349
436	1046	1347
437	1047	1344
438	1049	1341
439	1052	1338
440	1053	1335
441	1057	1335
442	1072	1348
443	1080	1353
444	1081	1349
445	1087	1350
446	1089	1348
447	1091	1345
448	1093	1342
449	1096	1340
450	1101	1341
451	1105	1340
452	1108	1338
453	1111	1336
454	1117	1338
455	1119	1335
456	1121	1332
457	1123	1329
458	1125	1326
459	1127	1323
460	1130	1321
461	1134	1321
462	1136	1318
463	1137	1314
464	1139	1311
465	1142	1308
466	1145	1307
467	1147	1304
468	1149	1301
469	1152	1299
470	1154	1297
471	1162	1300
472	1165	1298
473	1168	1296
474	1170	1293
475	1178	1297
476	1180	1294
477	1182	1291
478	1187	1291
479	1190	1289
480	1195	1290
481	1197	1287
482	1199	1283
483	1201	1280
484	1207	1282
485	1209	1278
486	1210	1275
487	1212	1272
488	1214	1269
489	1220	1270
490	1225	1270
491	1227	1267
492	1230	1265
493	1232	1262
494	1237	1262
495	1239	1259
496	1242	1257
497	1244	1254
498	1246	1251
499	1251	1251
500	1256	1251
501	1258	1248
502	1260	1245
503	1262	1242
504	1267	1242
505	1272	1242
506	1275	1239
507	1277	1237
508	1279	1234
509	1284	1234
510	1287	1232
511	1289	1228
512	1290	1225
513	1292	1222
514	1298	1222
515	1299	1219
516	1302	1216
517	1305	1214
518	1307	1212
519	1310	1209
520	1314	1208
521	1316	1205
522	1318	1202
523	1321	1200
524	1324	1197
525	1328	1196
526	1329	1193
527	1331	1190
528	1336	1189
529	1343	1191
530	1345	1188
531	1347	1185
532	1350	1183
533	1353	1181
534	1356	1179
535	1361	1178
536	1363	1175
537	1365	1172
538	1375	1176
539	1377	1173
540	1379	1170
541	1381	1167
542	1386	1167
543	1389	1164
544	1390	1160
545	1392	1157
546	1396	1156
547	1400	1155
548	1404	1153
549	1408	1152
550	1412	1150
551	1418	1151
552	1420	1148
553	1423	1146
554	1425	1143
555	1427	1139
556	1429	1136
557	1431	1134
558	1433	1130
559	1436	1128
560	1438	1125
561	1441	1123
562	1451	1126
563	1453	1123
564	1454	1120
565	1456	1116
566	1457	1113
567	1460	1110
568	1462	1108
569	1465	1105
570	1468	1103
571	1470	1100
572	1472	1096
573	1473	1093
574	1476	1091
575	1481	1090
576	1483	1087
577	1484	1084
578	1487	1081
579	1491	1079
580	1495	1078
581	1496	1075
582	1498	1072
583	1501	1069
584	1502	1065
585	1509	1066
586	1511	1063
587	1512	1059
588	1513	1056
589	1515	1053
590	1516	1049
591	1521	1048
592	1524	1046
593	1525	1043
594	1527	1039
595	1529	1036
596	1530	1033
597	1535	1032
598	1540	1031
599	1542	1028
600	1543	1024
601	1544	1021
602	1546	1018
603	1549	1015
604	1552	1013
605	1554	1010
606	1556	1008
607	1558	1004
608	1560	1001
609	1561	998
610	1566	997
611	1569	995
612	1571	991
613	1572	988
614	1575	986
615	1577	983
616	1580	980
617	1581	977
618	1583	974
619	1584	971
620	1586	968
621	1587	965
622	1589	961
623	1591	958
624	1593	955
625	1596	953
626	1598	950
627	1599	947
628	1601	944
629	1603	941
630	1604	938
631	1605	935
632	1608	932
633	1611	930
634	1612	927
635	1615	924
636	1617	921
637	1618	918
638	1620	915
639	1623	913
640	1628	912
641	1629	908
642	1631	905
643	1632	902
644	1634	899
645	1635	896
646	1638	894
647	1640	891
648	1642	888
649	1644	885
650	1645	882
651	1647	879
652	1648	875
653	1649	872
654	1650	869
655	1655	868
656	1657	865
657	1659	862
658	1660	859
659	1662	856
660	1663	853
661	1664	850
662	1668	848
663	1671	845
664	1673	842
665	1674	839
666	1676	836
667	1677	833
668	1678	830
669	1682	828
670	1687	827
671	1689	824
672	1690	821
673	1692	818
674	1693	815
675	1699	814
676	1700	811
677	1702	808
678	1704	805
679	1705	802
680	1707	799
681	1709	796
682	1712	794
683	1714	792
684	1716	789
685	1717	786
686	1718	783
687	1720	780
688	1722	777
689	1723	774
690	1726	772
691	1728	769
692	1730	766
693	1731	763
694	1733	760
695	1735	757
696	1736	754
697	1737	751
698	1740	749
699	1743	747
700	1744	744
701	1745	741
702	1748	738
703	1750	735
704	1751	732
705	1752	729
706	1755	727
707	1757	724
708	1758	721
709	1760	719
710	1762	716
711	1764	713
712	1766	710
713	1767	708
714	1771	706
715	1773	703
716	1774	700
717	1776	697
718	1777	694
719	1779	691
720	1780	688
721	1781	686
722	1788	685
723	1790	682
724	1792	679
725	1794	677
726	1796	674
727	1797	671
728	1800	669
729	1805	667
730	1807	664
731	1808	662
732	1819	662
733	1820	659
734	1822	657
735	1824	654
736	1825	651
737	1826	648
738	1829	645
739	1834	644
740	1835	641
741	1837	638
742	1838	635
743	1840	633
744	1841	630
745	1847	629
746	1849	626
747	1851	623
748	1852	620
749	1854	618
750	1855	615
751	1857	612
752	1862	611
753	1864	608
754	1865	605
755	1867	602
756	1868	599
757	1870	597
758	1871	594
759	1877	593
760	1880	590
761	1882	588
